sgRNA_Manual,10x5x3xpool_Dep,10x5x3xWOR_Dep,10x5x3xWR_Dep,20x10x5xpool_Dep,20x10x5xWOR_Dep,20x10x5xWR_Dep,Spike-in_IC55_Depletion,Spike-in_IC55_Dep_Cond,1X_Depletion,Condition_1X_IC30_Dep
1452,-150.8917624,-0.527364357,-1.679928637,-271.1793975,12.10166075,87.48612682,-136.1453128,5x3x2xpool_Dep,97.70220588,ON_01R
1839,32.41203679,31.24924365,28.46531,49.01687518,24.8132711,-43.27678629,17.26537341,5x3x2xpool_Dep,74.11214953,ON_0R
1834,51.60711096,9.772161317,25.15398689,55.03118728,14.55307338,-19.10361546,33.10875969,5x3x2xpool_Dep,82.36220472,ON_0R
1688,52.21202207,13.38761831,16.8601608,56.4548724,27.09859662,-54.38125245,31.74672086,5x3x2xpool_Dep,39.56043956,WOR_SP
2035,57.95867765,18.32686731,20.77119826,60.33318704,29.71970354,-22.53155256,39.01092795,5x3x2xpool_Dep,79.7752809,ON_0R
2065,35.56044887,77.10890183,78.0778174,51.30539332,76.32496156,80.58201275,33.06284414,5x3x2xpool_Dep,79.26587302,ON_0R
1575,55.96401637,-39.28539325,-25.8685022,59.40544458,-24.94352254,-97.12750432,35.66382523,5x3x2xpool_Dep,55.6174559,ON_01R
1408,27.98429543,-1.969954764,-2.439884658,45.52597248,-13.04711869,27.54887709,4.990706347,5x3x2xpool_Dep,97.0677452,ON_0R
1848,52.78079419,51.29373749,42.91555485,56.94940805,50.50752598,3.41621835,34.88141317,5x3x2xpool_Dep,60.51040967,ON_01R
1419,45.69232131,35.00077573,28.27455852,50.3047891,24.0415496,11.89505264,29.29445603,5x3x2xpool_Dep,94.88054608,ON_01R
1476,56.19832671,-60.2091139,-73.67818879,55.6280371,-41.9987487,-141.377032,27.41048722,5x3x2xpool_Dep,74.52339688,ON_0R
1439,45.59052595,-31.88263474,-32.54852884,59.15799902,-44.55040334,-109.6770639,34.94202168,5x3x2xpool_Dep,79.70954357,ON_0R
1460,-100.971049,6.375532944,2.897566582,-152.5000827,0.510968608,24.73135222,-53.23948251,5x3x2xpool_Dep,95.67053854,ON_01R
1832,22.22876969,-40.31073291,-41.83755784,39.80432249,-34.4570019,-168.6044184,-5.231863541,5x3x2xpool_Dep,12.81895504,#N/A
1678,33.56529844,13.98244202,12.69521466,47.54786452,5.51693129,-64.46821203,12.4026072,5x3x2xpool_Dep,94.78672986,ON_0R
1506,5.681890137,35.93420133,42.95459797,40.59918846,28.636186,-54.84611643,2.233994892,5x3x2xpool_Dep,56.15906887,ON_0R
1852,45.2728921,-14.75965302,-19.42495828,55.22792492,-6.475516696,-103.4972032,31.22666281,5x3x2xpool_Dep,52.47524752,ON_0R
